"Crawled Time","ASIN","Author","NumberOfPages","Publisher","FormattedPrice","Title","PublicationDate","SalesRank","DetailPageURL"
"06/27/2015 - 21:17:22","031640702X","James Patterson: Maxine Paetro","384","Little, Brown and Company","$28.00","14th Deadly Sin (Women's Murder Club)","2015-05-04","463","http://www.amazon.com/14th-Deadly-Womens-Murder-Club/dp/031640702X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D031640702X"
"06/27/2015 - 21:17:22","0316407011","James Patterson: Howard Roughan","416","Little, Brown and Company","$28.00","Truth or Die","2015-06-22","256","http://www.amazon.com/Truth-Die-James-Patterson/dp/0316407011%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316407011"
"06/27/2015 - 21:17:22","0316410977","James Patterson: Peter de Jonge","240","Little, Brown and Company","$26.00","Miracle at Augusta","2015-04-06","959","http://www.amazon.com/Miracle-at-Augusta-James-Patterson/dp/0316410977%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316410977"
"06/27/2015 - 21:17:22","1455591238","James Patterson: Michael Ledwidge","400","Grand Central Publishing","$8.00","Zoo","2015-05-26","531","http://www.amazon.com/Zoo-James-Patterson/dp/1455591238%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455591238"
"06/27/2015 - 21:17:22","0316207500","James Patterson","400","Little, Brown and Company","$19.00","Maximum Ride Forever","2015-05-18","2127","http://www.amazon.com/Maximum-Ride-Forever-James-Patterson/dp/0316207500%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316207500"
"06/27/2015 - 21:17:22","0316407038","James Patterson: Michael Ledwidge","400","Little, Brown and Company","$28.00","Alert (Michael Bennett)","2015-08-03","2795","http://www.amazon.com/Alert-Michael-Bennett-James-Patterson/dp/0316407038%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316407038"
"06/27/2015 - 21:17:22","0316284777","James Patterson: Chris Tebbetts","320","Little, Brown and Company","$13.99","Middle School: Just My Rotten Luck","2015-06-22","519","http://www.amazon.com/Middle-School-Just-Rotten-Luck/dp/0316284777%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316284777"
"06/27/2015 - 21:17:22","1455515825","James Patterson","416","Grand Central Publishing","$16.00","Hope to Die (Alex Cross)","2015-05-19","1742","http://www.amazon.com/Hope-Alex-Cross-James-Patterson/dp/1455515825%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455515825"
"06/27/2015 - 21:17:22","0316407046","James Patterson","448","Little, Brown and Company","$29.00","Cross Justice (Alex Cross)","2015-11-23","3997","http://www.amazon.com/Cross-Justice-Alex-James-Patterson/dp/0316407046%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316407046"
"06/27/2015 - 21:17:22","0316406996","James Patterson: Marshall Karp","384","Little, Brown and Company","$28.00","NYPD Red 3","2015-03-16","2805","http://www.amazon.com/NYPD-Red-3-James-Patterson/dp/0316406996%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316406996"
"06/27/2015 - 21:17:22","1455516007","James Patterson: Maxine Paetro","416","Grand Central Publishing","$16.00","Unlucky 13 (Women's Murder Club)","2015-01-13","2248","http://www.amazon.com/Unlucky-13-Womens-Murder-Club/dp/1455516007%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455516007"
"06/27/2015 - 21:17:22","0316405930","James Patterson: Chris Grabenstein","336","Little, Brown and Company","$13.99","I Totally Funniest: A Middle School Story (I Funny)","2015-01-26","3917","http://www.amazon.com/Totally-Funniest-Middle-School-Story/dp/0316405930%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316405930"
"06/27/2015 - 21:17:22","0316101699","James Patterson: Chris Tebbetts","336","Little, Brown and Company","$8.00","Middle School, The Worst Years of My Life","2012-11-06","2561","http://www.amazon.com/Middle-School-Worst-Years-Life/dp/0316101699%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316101699"
"06/27/2015 - 21:17:22","0316410985","James Patterson: David Ellis","480","Little, Brown and Company","$28.00","The Murder House","2015-09-28","4092","http://www.amazon.com/The-Murder-House-James-Patterson/dp/0316410985%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316410985"
"06/27/2015 - 21:17:22","031637086X","James Patterson: Chris Grabenstein","480","Little, Brown and Company","$14.99","Treasure Hunters: Danger Down the Nile","2014-09-01","3785","http://www.amazon.com/Treasure-Hunters-Danger-Down-Nile/dp/031637086X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D031637086X"
"06/27/2015 - 21:17:22","0316405914","James Patterson: Chris Grabenstein","352","Little, Brown and Company","$13.99","House of Robots","2014-11-24","3225","http://www.amazon.com/House-Robots-James-Patterson/dp/0316405914%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316405914"
"06/27/2015 - 21:17:22","031620711X","James Patterson: Peter de Jonge","224","Back Bay Books","$13.99","Miracle on the 17th Green: A Novel","2012-05-15","4413","http://www.amazon.com/Miracle-17th-Green-A-Novel/dp/031620711X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D031620711X"
